Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
2022-10-10,114.7210693359375,115.17527972648104,113.25646448394494,114.35955393315348,6923300
2022-10-11,115.15674591064453,116.51937711011598,114.57275403869667,114.65618447990683,5516200
2022-10-12,115.34213256835938,116.62134036195677,115.32359639983224,115.72218413664608,6823500
2022-10-13,117.08483123779297,117.492697698026,113.94242355744223,114.4893360447706,6910500
2022-10-14,115.94465637207031,117.742961685066,115.65729272905239,117.4926845221009,5516800
2022-10-17,118.03960418701172,118.91095269737289,116.66770129003325,116.80674731839352,6664600
2022-10-18,118.99439239501953,120.57024288449824,118.33625571965742,119.88428426973279,7114200
2022-10-19,120.09745788574219,123.28621642324367,120.05110685520958,122.02554477223957,9993700
2022-10-20,118.55057525634766,121.14582972135089,118.2611793234587,120.07224716208519,8168000
2022-10-21,120.034912109375,120.38031832138341,118.07447402661502,118.13048430480774,6394600
2022-10-24,120.77241516113281,121.77131269273542,119.82021185844745,120.88444997212554,6946000
2022-10-25,122.16339111328125,122.46211735246746,119.93222476117725,120.98713250850322,6776000
2022-10-26,123.02224731445312,123.75975397323433,121.73395391969568,121.96733957847172,6612800
2022-10-27,123.11560821533203,124.27319197506729,122.76085745297173,123.2276287740857,6676700
2022-10-28,126.23363494873047,126.50435604242077,124.08648406132085,124.31986971767559,6996400
2022-10-31,125.72018432617188,126.6537269565687,125.33742842897396,126.21496078070379,8346300
2022-11-01,125.9162368774414,127.22319088630178,124.94534454680483,125.74819179359916,6428300
2022-11-02,124.10516357421875,127.46590860540226,123.98379847003196,125.76686837043998,7318100
2022-11-03,123.25562286376953,123.8250843942649,122.25673973339637,122.9755572472633,5204000
2022-11-04,125.50545501708984,126.02823653392595,123.71305514019691,124.45989198341763,5555400
2022-11-07,127.4285888671875,128.0727356614975,126.08428499118966,126.35502037315905,6746800
2022-11-08,127.71797180175781,128.3807933723957,126.7750988228386,127.72731634518776,5266200
2022-11-09,127.40990447998047,128.8008882395174,127.27920907097729,127.77398556539869,5690700
2022-11-10,131.7975311279297,132.2176366736238,129.01557830148786,130.19185103786506,8068700
2022-11-11,131.60150146484375,132.21764299959415,129.8651116590115,131.81621227432478,7175200
2022-11-14,131.61085510253906,134.0193971470959,130.93870317174495,131.17208886313924,8516200
2022-11-15,131.15342712402344,133.68332001969713,130.41592036857804,132.64708698912438,7732400
2022-11-16,132.32034301757812,133.41258623082004,131.6108414725887,132.09628764893978,6193700
2022-11-17,131.50816345214844,132.27367534938114,130.56529039688738,131.7322188416455,5186300
2022-11-18,133.09519958496094,133.27256074572398,131.88159113475382,132.48838823749128,5671400
2022-11-21,134.78488159179688,135.54104879869868,133.33788775101075,133.55259855482416,6377200
2022-11-22,135.94247436523438,136.10117490430105,135.2143122472907,135.76509898488627,5372900
2022-11-23,136.7173309326172,136.88537603247366,135.89582301078772,136.20387957851645,4296000
2022-11-25,136.9693603515625,137.41745677485528,136.670619906215,137.03470092102697,2411100
2022-11-28,136.85739135742188,137.54820396922366,136.42795536665997,136.66134108572464,6628200
2022-11-29,135.81178283691406,136.35323929166773,134.92492015462452,136.06384334484247,5634200
2022-11-30,139.24722290039062,139.24722290039062,135.48504721970173,135.9704791338531,12396800
2022-12-01,139.3312225341797,140.36745531176072,138.69642045156067,139.59261330287325,6927400
2022-12-02,140.60084533691406,140.75021556504242,138.23898380295924,138.6030648310665,4938300
2022-12-05,139.18190002441406,139.72335658653563,138.4164022950239,138.82716342799426,5402500
2022-12-06,139.3592529296875,140.10608993763302,138.4257102309384,139.7700139962941,6866700
2022-12-07,140.25546264648438,140.43282379678124,139.1071948506904,139.1071948506904,6175500
2022-12-08,141.263671875,141.31968215136968,139.10717652166161,139.52728208389306,5187100
2022-12-09,140.89024353027344,141.851791241721,140.23676657755118,140.68486302445655,5868200
2022-12-12,142.33724975585938,142.42126517607906,141.00227635187048,141.17032143704026,6142400
2022-12-13,142.12252807617188,143.98026870118105,140.76887993397023,143.21477118977626,7680600
2022-12-14,142.6826629638672,144.17633698295936,142.05719106373255,142.63598297988347,7385600
2022-12-15,141.067626953125,141.89847932146807,139.78867811229117,141.6370885254543,7117200
2022-12-16,140.442138671875,141.03027501646443,139.1165100058259,140.36745356107568,19966400
2022-12-19,140.40480041503906,141.31968241320357,139.32190183218376,140.23676958561876,5881800
2022-12-20,140.46084594726562,140.87159278442277,139.34992781526591,139.3966078008863,5646100
2022-12-21,141.74911499023438,142.48662167344187,140.70355176260213,140.7315569030044,5024700
2022-12-22,142.07586669921875,142.28124723410846,140.85292803356808,141.08631371005808,5904900
2022-12-23,142.47726440429688,142.75733002803491,141.59040179973417,142.18786848283497,3401800
2022-12-27,143.71888732910156,144.0643077941208,142.51462358489798,142.55195902301153,4215100
